Lane,Special,200
Lane,Right,742
Lane,Left,432
Lane,Down,592
Down,Normal,114
Right,Normal,184
Right,Hold,213
Down,Normal,393
Left,Normal,463
Special,SpeedUp,503
Down,Normal,776
Right,Normal,847
Right,Hold,882
Down,Normal,1063
Left,Normal,1131
Special,SlowDown,1173
Down,Bomb,1150
Down,Normal,1295
Down,Normal,1327
Down,Hold,1357
Left,Normal,1555
Left,Normal,1611
Left,Hold,1651
Right,Bomb,1750
Right,Normal,1840
Right,Normal,1892
Right,Hold,1929
Down,Normal,2121
Left,Normal,2175
Left,Hold,2230
Special,DoubleScore,2370
Down,Normal,2422
Right,Normal,2474
Right,Hold,2507
Down,Normal,2692
Left,Normal,2749
Left,Hold,2794
Down,Normal,3006
Right,Normal,3044
Right,Hold,3083
Left,Normal,3262
Right,Normal,3262
Left,Normal,3310
Right,Normal,3310
Left,Hold,3361
Right,Hold,3361
