Lane,Special,150
Lane,Right,592
Lane,Left,432
Left,Hold,123
Right,Hold,123
Right,Normal,395
Right,Normal,435
Left,Normal,461
Right,Normal,543
Right,Normal,618
Special,SpeedUp,720
Left,Normal,908
Right,Normal,963
Left,Normal,995
Left,Normal,1123
Special,SlowDown,1205
Left,Normal,1230
Right,Normal,1250
Left,Normal,1310
Left,Normal,1343
Right,Normal,1420
Left,Normal,1476
Right,Normal,1509
Left,Normal,1556
Right,Normal,1608
Special,DoubleScore,1664
Left,Normal,1722
Right,Hold,1858
Left,Normal,2142
Left,Normal,2198
Right,Normal,2229
Left,Bomb,2229
Left,Normal,2320
Right,Normal,2360
Left,Normal,2392
Left,Normal,2443
Right,Normal,2501
Right,Normal,2578
Right,Normal,2640
Left,Normal,2668
Special,DoubleScore,2734
Left,Normal,2798
Right,Normal,2829
Left,Normal,2882
Left,Normal,2934
Right,Bomb,2934
Right,Normal,3020
Right,Normal,3074
Right,Normal,3104
Right,Normal,3180
Left,Normal,3243
Right,Normal,3268
Left,Normal,3319
Left,Normal,3372
Right,Normal,3433
Left,Normal,3488
Left,Hold,3609
